"name","type","location"
" wpcrdbtue201d-prvtendpt-ue2-d","microsoft.network/privateendpoints","eastus2"
" wpcrdbtue201d-prvtendpt-ue2-d.nic.1a8bb701-6914-4982-8470-3dc74271f7aa","microsoft.network/networkinterfaces","eastus2"
"013969e8-bae2-45e2-8c97-6283c35fa70f-dashboard","microsoft.portal/dashboards","eastus2"
"059dacbdb24d4951a7244025cfea580c","microsoft.compute/virtualmachines","centralus"
"059dacbdb24d4951a7244025cfea580c-containerRootVolume","microsoft.compute/disks","centralus"
"059dacbdb24d4951a7244025cfea580c-osDisk","microsoft.compute/disks","centralus"
"059dacbdb24d4951a7244025cfea580c-privateNIC","microsoft.network/networkinterfaces","centralus"
"059dacbdb24d4951a7244025cfea580c-publicNIC","microsoft.network/networkinterfaces","centralus"
"07d626b45c024f05bde2ec138f5c66ed","microsoft.compute/virtualmachines","centralus"
"07d626b45c024f05bde2ec138f5c66ed-containerRootVolume","microsoft.compute/disks","centralus"
"07d626b45c024f05bde2ec138f5c66ed-osDisk","microsoft.compute/disks","centralus"
"07d626b45c024f05bde2ec138f5c66ed-privateNIC","microsoft.network/networkinterfaces","centralus"
"07d626b45c024f05bde2ec138f5c66ed-publicNIC","microsoft.network/networkinterfaces","centralus"
"07fb70527b4043c6ac74fa5699d28ded","microsoft.compute/virtualmachines","centralus"
"07fb70527b4043c6ac74fa5699d28ded-containerRootVolume","microsoft.compute/disks","centralus"
"07fb70527b4043c6ac74fa5699d28ded-osDisk","microsoft.compute/disks","centralus"
"07fb70527b4043c6ac74fa5699d28ded-privateNIC","microsoft.network/networkinterfaces","centralus"
"07fb70527b4043c6ac74fa5699d28ded-publicNIC","microsoft.network/networkinterfaces","centralus"
"0f6734ec-6399-4046-b14b-90f33b0d4031","microsoft.insights/workbooks","centralus"
"13eeadc4-e78b-489b-ab0b-d23d9016f136","microsoft.network/publicipaddresses","eastus2"
"15c6a0ec-5508-4d26-828f-3029516a2fb2-rg-evl-dev-cp-centra-CUS","microsoft.operationalinsights/workspaces","centralus"
"15c6a0ec-5508-4d26-828f-3029516a2fb2-rg-evl-dev-cp-centra-EUS","microsoft.operationalinsights/workspaces","eastus"
"17845F3C3DEDC2DF907A366F144FD88138091E80__Central US_rg-evl-azappsasp-uc-p","microsoft.web/certificates","centralus"
"1c50eb75f7474204846292f38ff49633","microsoft.compute/virtualmachines","centralus"
"1c50eb75f7474204846292f38ff49633-containerRootVolume","microsoft.compute/disks","centralus"
"1c50eb75f7474204846292f38ff49633-osDisk","microsoft.compute/disks","centralus"
"1c50eb75f7474204846292f38ff49633-privateNIC","microsoft.network/networkinterfaces","centralus"
"1c50eb75f7474204846292f38ff49633-publicNIC","microsoft.network/networkinterfaces","centralus"
"257998c2-44a0-4aee-b02f-00c8fa6d9251","microsoft.portal/dashboards","centralus"
"2ec21d89489b4ecc8e06e24b13f7cfbe","microsoft.compute/virtualmachines","centralus"
"2ec21d89489b4ecc8e06e24b13f7cfbe-containerRootVolume","microsoft.compute/disks","centralus"
"2ec21d89489b4ecc8e06e24b13f7cfbe-osDisk","microsoft.compute/disks","centralus"
"2ec21d89489b4ecc8e06e24b13f7cfbe-privateNIC","microsoft.network/networkinterfaces","centralus"
"2ec21d89489b4ecc8e06e24b13f7cfbe-publicNIC","microsoft.network/networkinterfaces","centralus"
"333c192ca4d4470e9aca286800acb4a2","microsoft.compute/virtualmachines","centralus"
"333c192ca4d4470e9aca286800acb4a2-containerRootVolume","microsoft.compute/disks","centralus"
"333c192ca4d4470e9aca286800acb4a2-osDisk","microsoft.compute/disks","centralus"
"333c192ca4d4470e9aca286800acb4a2-privateNIC","microsoft.network/networkinterfaces","centralus"
"333c192ca4d4470e9aca286800acb4a2-publicNIC","microsoft.network/networkinterfaces","centralus"
"34606CFAA50D4815BDADD8B9019FE2B46EB64C49__Central US_rg-evl-odsapps-uc-d","microsoft.web/certificates","centralus"
"34606CFAA50D4815BDADD8B9019FE2B46EB64C49__Central US_rg-evl-odsapps-uc-m","microsoft.web/certificates","centralus"
"34606CFAA50D4815BDADD8B9019FE2B46EB64C49__Central US_rg-evl-odsapps-uc-u","microsoft.web/certificates","centralus"
"34606CFAA50D4815BDADD8B9019FE2B46EB64C49__Central US_rg-evl-portals-uc-u","microsoft.web/certificates","centralus"
"3ec5f85245ae4c6182c4f5309f6e822f","microsoft.compute/virtualmachines","centralus"
"3ec5f85245ae4c6182c4f5309f6e822f-containerRootVolume","microsoft.compute/disks","centralus"
"3ec5f85245ae4c6182c4f5309f6e822f-osDisk","microsoft.compute/disks","centralus"
"3ec5f85245ae4c6182c4f5309f6e822f-privateNIC","microsoft.network/networkinterfaces","centralus"
"3ec5f85245ae4c6182c4f5309f6e822f-publicNIC","microsoft.network/networkinterfaces","centralus"
"459610D44A69F2014FFBFF13F43B06D2A1281DBF__Central US_rg-evl-azappsasp-uc-d","microsoft.web/certificates","centralus"
"459610D44A69F2014FFBFF13F43B06D2A1281DBF__Central US_rg-evl-azappsasp-uc-m","microsoft.web/certificates","centralus"
"459610D44A69F2014FFBFF13F43B06D2A1281DBF__Central US_rg-evl-azappsasp-uc-p","microsoft.web/certificates","centralus"
"459610D44A69F2014FFBFF13F43B06D2A1281DBF__Central US_rg-evl-azappsasp-uc-u","microsoft.web/certificates","centralus"
