"SubscriptionName","SubscriptionId","ResourceGroup","ResourceName","ResourceType","Group","Location","ResourceId","CreationTime","Tags"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-adc01_17592238021831","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-adc01_17592238021831","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-adc02_17592873137390","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-adc02_17592873137390","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-dc01_5639368751799005292","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-dc01_5639368751799005292","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-devdigapp1_5639368752505817934","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-devdigapp1_5639368752505817934","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-devdigapp2_5639368751447431477","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-devdigapp2_5639368751447431477","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-devdigapp3_5639368751434048737","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-devdigapp3_5639368751434048737","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-devsql_5639368752544952090","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-devsql_5639368752544952090","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_az-dfsr_5639368752719465302","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_az-dfsr_5639368752719465302","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlazdagent01d_5639368750639678585","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlazdagent01d_5639368750639678585","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlazdagent01m_5639368751309095558","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlazdagent01m_5639368751309095558","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlazdagent01p_17592461445705","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlazdagent01p_17592461445705","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlazdagent01u_5639368751934224878","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlazdagent01u_5639368751934224878","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremcec1u_5639368751943520924","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremcec1u_5639368751943520924","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremcee1u_5639368750993799255","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremcee1u_5639368750993799255","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremcee2u_5639368752490291404","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremcee2u_5639368752490291404","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremenc1p_17593345963288","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremenc1p_17593345963288","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremenc1u_5639368750953759947","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremenc1u_5639368750953759947","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene1p_17593130804819","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene1p_17593130804819","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene1u_5639368751221150436","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene1u_5639368751221150436","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene2p_17593085441882","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene2p_17593085441882","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene2u_5639368751098703791","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene2u_5639368751098703791","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene3p_17593275546041","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene3p_17593275546041","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene3u_5639368751660687166","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene3u_5639368751660687166","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene4p_17593812898679","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene4p_17593812898679","N/A","Environment=Shared"
"TPA","15c6a0ec-5508-4d26-828f-3029516a2fb2","azurebackuprg_centralus_1","AzureBackup_vmlevldremene4u_5639368751858799880","microsoft.compute/restorepointcollections","IaaS","centralus","/subscriptions/15c6a0ec-5508-4d26-828f-3029516a2fb2/resourceGroups/azurebackuprg_centralus_1/providers/Microsoft.Compute/restorePointCollections/AzureBackup_vmlevldremene4u_5639368751858799880","N/A","Environment=Shared"
